Date,Market Cap (USD),Number of Coins
1/9/2017,241265852.7,1.0247E+11
1/10/2017,239476590.8,1.0247E+11
1/11/2017,216677879.2,1.0247E+11
1/12/2017,255560265.5,1.0247E+11
1/13/2017,245409263.5,1.0247E+11
1/14/2017,253921489.6,1.0247E+11
1/15/2017,251840304.4,1.0247E+11
1/16/2017,244214040.1,1.0247E+11
1/17/2017,258759096.9,1.0247E+11
1/18/2017,254670237,1.0247E+11
1/19/2017,242456128.3,1.0247E+11
1/20/2017,240353092.4,1.0247E+11
1/21/2017,237521831.2,1.0247E+11
1/22/2017,240591135.6,1.0247E+11
1/23/2017,239730055.9,1.0247E+11
1/24/2017,229668039.4,1.0247E+11
1/25/2017,219941520.7,1.0247E+11
1/26/2017,223442793.6,1.0247E+11
1/27/2017,224871544.4,1.0247E+11
1/28/2017,225075806.3,1.0247E+11
1/29/2017,226947887.9,1.0247E+11
1/30/2017,250749834.6,1.0247E+11
1/31/2017,241805368.1,1.0247E+11
2/1/2017,240300359.7,1.0247E+11
2/2/2017,247353339,1.0247E+11
2/3/2017,242854486.1,1.0247E+11
2/4/2017,242491503.2,1.0247E+11
2/5/2017,236263966.9,1.0247E+11
2/6/2017,240116169.2,1.0247E+11
2/7/2017,236526543.6,1.02646E+11
2/8/2017,226794612.2,1.02646E+11
2/9/2017,218484878,1.02646E+11
2/10/2017,220983267.7,1.02646E+11
2/11/2017,218927006.4,1.02646E+11
2/12/2017,217543392.3,1.02646E+11
2/13/2017,215008056.4,1.02646E+11
2/14/2017,216486034.7,1.02646E+11
2/15/2017,230063329.6,1.02646E+11
2/16/2017,221302558.2,1.02646E+11
2/17/2017,216940435.2,1.02646E+11
2/18/2017,208675321.2,1.02646E+11
2/19/2017,210832454.2,1.02646E+11
2/20/2017,211617765.6,1.02646E+11
2/21/2017,208453137,1.02646E+11
2/22/2017,208957160.4,1.02646E+11
2/23/2017,201925930,1.02646E+11
2/24/2017,194570478.3,1.02646E+11
2/25/2017,194889747.3,1.02646E+11
2/26/2017,194828493.5,1.02646E+11
2/27/2017,183195267.4,1.02646E+11
2/28/2017,189509889.3,1.02646E+11
3/1/2017,177693970.9,1.02646E+11
3/2/2017,184621055.3,1.02646E+11
3/3/2017,183630797,1.02646E+11
3/4/2017,179632218.6,1.02646E+11
3/5/2017,178814472.3,1.02646E+11
3/6/2017,188777432.3,1.02646E+11
3/7/2017,207276065.3,1.02646E+11
3/8/2017,186267715,1.02646E+11
3/9/2017,182072163.6,1.02646E+11
3/10/2017,172638868.4,1.02646E+11
3/11/2017,181087702.2,1.02646E+11
3/12/2017,189109182.7,1.02646E+11
3/13/2017,200457508.1,1.02646E+11
3/14/2017,195330403.8,1.02646E+11
3/15/2017,197712809.7,1.02646E+11
3/16/2017,201608817,1.02646E+11
3/17/2017,191636592.9,1.02646E+11
3/18/2017,187707662.8,1.02646E+11
3/19/2017,190681330.2,1.02646E+11
3/20/2017,198389202.9,1.02646E+11
3/21/2017,221730027.6,1.02764E+11
3/22/2017,197253568.6,1.02764E+11
3/23/2017,219969397,1.02764E+11
3/24/2017,212988993,1.02764E+11
3/25/2017,204146201.9,1.02764E+11
3/26/2017,204733801,1.02764E+11
3/27/2017,189611623.1,1.02764E+11
3/28/2017,210426923.5,1.02764E+11
3/29/2017,200141078.9,1.02764E+11
3/30/2017,235471797.3,1.02764E+11
3/31/2017,239141777.1,1.02764E+11
4/1/2017,274647616.7,1.02764E+11
4/2/2017,440155734,1.02764E+11
4/3/2017,311922754.1,1.02784E+11
4/4/2017,304113836,1.02784E+11
4/5/2017,320823903.2,1.02784E+11
4/6/2017,290688816.2,1.02784E+11
4/7/2017,278551745.3,1.02784E+11
4/8/2017,301499406.7,1.02784E+11
4/9/2017,287527521.9,1.02784E+11
4/10/2017,293044813,1.02803E+11
4/11/2017,290247379.6,1.02823E+11
4/12/2017,314164031.5,1.02823E+11
4/13/2017,315816699,1.02823E+11
4/14/2017,322045070.8,1.02823E+11
4/15/2017,348143415.7,1.02823E+11
4/16/2017,384650823.1,1.02823E+11
4/17/2017,363004012,1.02823E+11
4/18/2017,375884323.2,1.02842E+11
4/19/2017,361395129.5,1.02842E+11
4/20/2017,348409004.6,1.02842E+11
4/21/2017,356462294.2,1.02842E+11
4/22/2017,360520902.4,1.02842E+11
4/23/2017,366903622.6,1.02842E+11
4/24/2017,396408463.4,1.02842E+11
4/25/2017,393673991.7,1.02842E+11
4/26/2017,399643882.3,1.02862E+11
4/27/2017,413875442,1.02862E+11
4/28/2017,475051552.6,1.02862E+11
4/29/2017,526787629.6,1.02862E+11
4/30/2017,511796311.8,1.02862E+11
5/1/2017,529249476.8,1.02862E+11
5/2/2017,508874630.7,1.02882E+11
5/3/2017,539345769.1,1.02882E+11
