date,txvolume_usd,adjustedtxvolume_usd,txcount,marketcap_usd,price_usd,exchangevolume_usd,generatedcoins,fees,activeaddresses,mediantxvalue_usd,medianfee,averagedifficulty,paymentcount,blocksize,blockcount
9/24/15,276025.7361,276025.7361,6224,65858901.14,0.896796,842505,26385.78125,10.31950627,1569,1.7574573,0.00105,7.02922E+12,5979,3924670,5021
9/25/15,543791.251,543791.251,5851,60242417.14,0.820031,903457,27003.4375,9.836594916,1536,1.669925946,0.00105,6.97708E+12,5539,3931914,5126
9/26/15,187117.522,187117.522,5907,54207134.17,0.73763,369620,25910.3125,9.289146479,1420,1.28041491,0.00105,7.22685E+12,5687,3770114,4930
9/27/15,303405.105,303405.105,5760,58168442.02,0.791277,413801,25011.09375,8.42387045,1417,1.36448258,0.00105,7.25291E+12,5648,3459118,4773
9/28/15,520229.4084,520229.4084,6123,53218983.45,0.723715,1320890,24714.21875,9.272346609,1545,1.447519075,0.00105,6.7471E+12,5881,3578200,4738
9/29/15,234644.8061,234644.8061,5738,42621132.29,0.579414,913992,24364.6875,8.877328421,1532,1.165281962,0.00105,6.05728E+12,5498,3536519,4640
9/30/15,367367.2644,367367.2644,5870,48652335.67,0.661192,619926,25097.5,8.385327116,1490,1.418582445,0.00105,5.62525E+12,5664,3529196,4757
10/1/15,425540.8874,425540.8874,6421,54051479.56,0.734307,596084,27422.03125,8.767949463,1473,1.471163132,0.00105,5.65288E+12,6194,3860006,5210
10/2/15,101909.9636,101909.9636,6063,50346309.09,0.683732,219318,26913.125,9.765296663,1375,1.261916093,0.00105,5.98173E+12,5784,3975887,5143
10/3/15,83481.72695,83481.72695,6112,49999112.46,0.678783,163326,26453.75,9.791648364,1389,1.188962779,0.00105,6.29081E+12,5849,3902443,5077
10/4/15,293448.4644,293448.4644,6624,50572748.95,0.686343,103497,25480.15625,9.431925786,1393,0.833886267,0.00105,6.20574E+12,6389,3790759,4886
10/5/15,109314.1764,109314.1764,6279,49148241.84,0.666784,234263,26136.875,11.48677351,1409,1.256188597,0.00105,6.28459E+12,5887,3863990,5009
10/6/15,315285.5148,315285.5148,6458,45878277.33,0.622218,262674,25036.5625,9.995299954,1415,0.93697825,0.00105,6.27647E+12,6123,3753597,4806
10/7/15,201810.2831,201810.2831,7121,47980991.63,0.650515,218327,26133.59375,12.18298992,1373,0.888582244,0.00105,5.98354E+12,6697,4043948,5004
10/8/15,191066.7312,191066.7312,6926,44971562.62,0.609501,310266,26778.4375,11.97293337,1330,0.918967655,0.00105,5.97778E+12,6584,4063481,5152
10/9/15,146975.7487,146975.7487,6763,48350927.77,0.655084,386420,25451.40625,11.30921838,1366,1.044313211,0.00105,6.12263E+12,6499,3822655,4905
10/10/15,82536.48638,82536.48638,6529,47340907.97,0.641187,141555,25499.6875,11.38281162,1266,0.935897426,0.00105,6.03158E+12,6319,3808059,4896
10/11/15,95953.59744,95953.59744,6023,46343168.44,0.627461,102128,26507.03125,8.998794599,1300,0.90210087,0.00105,6.1395E+12,5849,3795610,5073
10/12/15,172115.3768,172115.3768,6593,46880731.76,0.634515,109567,26803.75,10.70380732,1335,1.226443028,0.00105,6.145E+12,6229,4053860,5148
10/13/15,258249.9097,258249.9097,6818,46411201.97,0.627943,303044,26668.28125,12.3232488,1475,1.213403826,0.00105,6.35669E+12,6419,4178104,5108
10/14/15,608804.9858,608804.9858,6830,45265695.04,0.61224,971664,25875.625,11.83199852,1566,1.012548075,0.00105,6.48246E+12,6502,3903622,4934
10/15/15,430352.5713,430352.5713,6499,38701201.42,0.523278,371022,25610.46875,18.87034386,1496,0.824300244,0.00105,6.20936E+12,6002,4059761,4926
10/16/15,204035.3057,204035.3057,6795,41622652.87,0.562593,249891,25441.40625,21.17944655,1366,0.765311549,0.00105,5.8149E+12,6353,4037655,4883
10/17/15,130451.1116,130451.1116,6567,39529401.02,0.534117,313860,26450.625,12.29146245,1355,0.836240201,0.00105,6.0042E+12,6213,3983584,5056
10/18/15,100824.5084,100824.5084,6481,40563961.44,0.547913,133690,25848.28125,13.1130126,1345,0.800320761,0.00105,5.97392E+12,6005,4015728,4945
10/19/15,266585.3115,266585.3115,6604,38334214.38,0.517621,243742,25966.71875,11.69921914,1452,0.735832917,0.00105,5.92161E+12,6179,3989491,4975
10/20/15,245668.7206,245668.7206,5897,36273398.24,0.489629,383921,26192.5,11.5270198,1314,0.987134388,0.00105,5.83498E+12,5625,3842397,4990
