date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-05-05,418,219256,4283716364.3161997017202,0.0047923089546598,0.10899586756443214413353635,0.0001,0.00227439150095801,11.41527993,259.628156538485473257393,0,0,1726.00692573,,0.003970411767971952,22.7439150095801,,,188345602,3901,930,109122.15889284,2481865.107520648263009296484,154.091370059591,3504.641024345093373072887739,5.2551889,119.52356970088873518089,143304.97415542,3259316.152640945252206339142,,,
2019-05-06,415,222110,4139282216.8836965219752,0.31794755863809,6.987551933239366369417142484,0.0001,0.00219770579877076,1001.53480971,22010.788589704366685120796,0,0,537.52050504,,0.0038612546125866894,21.9770579877076,,,188345602,5146,1157,350397.05506068,7700696.397790537119812097168,310.895191819533,6832.561658717354217991572551,6.18976,136.032714449992994176,359705.7369352,7905273.83913598584089774752,,,
2019-05-07,415,222460,3944465324.6770392512526,0.0069371804407893,0.1452832846063545061788560866,0.0001,0.00209426993929863,21.08902854,441.661185203328756529002,0,0,237.74196348,,0.003594853495557024,20.9426993929863,,,188345602,5023,1153,792226.99787669,16591371.86753951444197825935,708.113813885958,14829.81474023466641857325638,15.07111975,315.629930439948837409425,816455.22741051,17098776.39549057930220490601,,,
2019-05-08,197,222574,3860150922.5296470359222,0.000205285990795185,0.004207344893301230402245292504,0.0001,0.00204950414638811,0.80287351,16.454925877701756979661,0,0,1866.91698426,,0.003455113019349898,20.4950414638811,,,188345602,7615,421,100885.9009738,2067660.72357903364401741518,246.078650530333,5043.392145995081673179455406,40.393,827.8562098505492723,103599.11187327,2123268.093463925428865548197,,,
2019-05-09,137,223652,3513281741.0966971217908,0.000184041309045218,0.003432992136849039924169940037,0.0001,0.00186533781717754,0.73248441,13.663308704659782521514,0,0,5734.66850385,,0.0030330003581691537,18.6533781717754,,,188345602,7841,248,32843.32858536,612639.028522601251161648144,132.240005649032,2466.722834809109096460731413,5.13737707,95.829437297717461150078,32795.52140096,611747.263032660249738464384,,,
2019-05-10,113,224047,3669694979.2749127956656,0.000172894288554379,0.003368644109105943641753526471,0.0001,0.00194838368419928,0.60876079,11.860995908162642102312,0,0,2820.40277507,,0.0030647186353009886,19.4838368419928,,,188345602,6869,192,66779.68255624,1301124.439285852835279675072,347.728912385781,6775.093394168166316574424377,4.129766065,80.463688206058632414332,66763.95117807,1300817.931680288868006457896,,,
2019-05-11,121,230352,4060420984.0822285482994,0.000238318749670265,0.00513775974477696427261770627,0.0001,0.00215583530539897,0.90346638,19.477247192450018816286,0,0,11828.54086454,,0.002943086578690365,21.5583530539897,,,188345602,7391,224,15922.97851079,343273.192406701961773998863,84.0540187964732,1812.066212821055659255549126,0.8118666,17.50250679554223417402,18828.10021041,405902.831671916536659972777,,,
2019-05-12,92,230321,3917087197.0282550042658,0.000209987984886643,0.004367191154955834875392576695,0.0001,0.00207973382730129,0.58355661,12.136424219622662410269,0,0,64873.82263817,,0.0029956023465809506,20.7973382730129,,,188345602,5511,119,2903.26042679,60380.089190603433593175591,23.3581181779832,485.7866851685283510355095833,0.513,10.6690345340556177,2779.61606318,57808.615535054857135355022,,,
2019-05-13,119,230376,4414619589.4617154197368,0.000178850579826847,0.004192066418891931784214455495,0.0001,0.00234389311063484,0.88835083,20.821993902637419409172,0,0,6592.8533617,,0.003005412797611658,23.4389311063484,,,188345602,9996,157,28568.14669868,669606.822306415003449900112,187.807983938662,4402.018396760485449424401841,0.5875,13.770372024979685,29485.85347837,691116.888291397762529084108,,,
2019-05-14,145,230519,4441394742.1836560480278,0.0002937382411931,0.00692666813644689697194183209,0.0001,0.00235810907980939,1.14234802,26.937812382642786439078,0,0,17144.62474943,,0.002964102799532432,23.5810907980939,,,188345602,7609,211,10985.69404421,259054.648736595392850331319,50.82826574109,1198.585949550288823642908351,0.1475,3.47821089271885025,10724.76407137,252901.635355111177599561643,,,
2019-05-15,529,226602,5083532808.4194021667628,0.00522574736578679,0.1410452800617474118996008949,0.000625,0.016869032095913375,11.48619271,310.017525575737965946394,0,0,1963.50795605,,0.0032854256605330556,26.9904513534614,,,188345602,3147,1190,95923.01442924,2589005.454629778159619371336,102.736675248445,2772.909235509516663355717523,7.0065,189.1085974080272991,122256.64354565,3299761.99025633697509641291,,,
2019-05-16,990,227410,4954990185.0576443495034,1.57862610328346,41.53044597051615491224988728,0.000625,0.0164424803806198125,6014.56545351,158230.999147667007974325867,0,0,1.5758177,,0.0033461878674787083,26.3079686089917,,,188345602,4159,3278,119522456.44390356,3144393032.19579258951486364,36486.7453848972,959892.1522301483203053001532,17.815473425,468.6889156192258473955725,119603551.37169293,3146526475.010423784150849319,,,
2019-05-17,629,232314,4813021644.3843695439238,0.374766061060612,9.576847796347269164554818843,0.000625,0.0159713765322761875,1014.11696123,25914.950136915299652143537,0,0,184.0238596,,0.0034877138106370535,25.5542024516419,,,188345602,3030,2332,1023484.68512442,26154334.8498243916233347852,456.671486998623,11669.8756326551639277293891,21.309680905,544.5519000262575823279195,1064957.90768079,27214149.9753518720245565891,,,
2019-05-18,673,232526,5434353095.0521996555158,0.0037935229971456,0.1094548703117043748081479782,0.000625,0.0180331828741486875,11.96097801,345.111206092801677852579,0,0,270.34674109,,0.003964432797836008,28.8530925986379,,31.343419959922546,188345602,3404,2925,696681.60687901,20101418.91504792250959610048,268.083624974222,7735.041655559743273379812214,45.54599788,1314.142894329005484287652,784144.6030496,22624996.84251226782914613984,,0.05840702743131525,
2019-05-19,827,232589,5534522454.2339425149964,0.000661371319570561,0.01943435036380410072821089193,0.000625,0.018365581660336375,4.00460334,117.674991452841268557588,0,0,83.63410215,,0.00357492094559592,29.3849306565382,,20.79717647410382,188345602,6146,5859,2252019.17823228,66175427.3895496891825002931,413.790699132495,12159.21100032882708553982881,50.001,1469.2759177575665382,2424399.70621729,71240817.25092665064012838548,,0.05575630017686326,
2019-05-20,4567,232250,5529573083.2707208032036,0.19628282961106,5.762599390696314641768813508,0.0001,0.00293586525225618,1014.38966343,29781.113651119784783374974,0,0,201.27899066,,0.0036785039238831914,29.3586525225618,,17.74417964268903,188345602,7999,6280,935743.97099274,27472182.09445800200759400133,170.469898724599,5004.766522211803003892157718,0.68158,20.010270386327671644,1070550.96399048,31429933.75949007236756041166,,0.05566070333509423,
2019-05-21,801,231989,6124298038.0938527593614,0.000339786862842915,0.01104860424337877223898931884,0.0001,0.00325162784427207,2.72509064,88.609806031891955704248,0,0,263.53830454,,0.004072777864704572,32.5162784427207,,34.37713779699614,188345602,13383,2619,714680.17648646,23238739.61612650460608911172,299.901844383013,9751.691877443543662152583469,13.60060653,442.241108919365383386171,785442.93043911,25539681.02702460680663408658,,0.057941942235242495,
